product_name,category,total_revenue,units_sold,avg_price
Modern,Electronics,43340819.35,1429,34983.93444099379
Four,Electronics,37716009.69,1256,33822.70730496454
Above,Electronics,36599401.02,1163,37048.478484320556
Carry,Electronics,35483438.83,1260,32453.85468965517
My,Electronics,33255341.57,1162,32389.276830708663
Person,Electronics,32274003.75,1122,33553.14770588235
Go,Electronics,32260118.51,1180,32147.3504676259
Seat,Electronics,30863684.51,1146,31039.508095238096
Model,Electronics,30085150.99,1458,23604.154121306376
Left,Electronics,29659240.36,1244,27666.038401360544
