year_month,total_revenue,total_transactions,average_order_value,unique_customers
2023-01,279029360.17,3298,11420.18418409528,971
2023-02,214803344.14,2832,10872.265229538898,958
2023-03,251930197.73,3277,10921.198098231316,975
2023-04,241127773.93,3049,11152.996018963922,962
2023-05,248334084.89,3201,10859.932867888223,971
2023-06,242008973.61,3084,10895.906245103777,963
2023-07,269643102.64,3241,11377.826180007596,976
2023-08,252320799.67,3196,11054.580489375685,964
2023-09,241081004.9,3062,10833.153810550912,964
2023-10,248873814.18,3236,11087.668813151564,964
2023-11,250821973.93,3073,11169.983252282342,974
2023-12,237450594.23,3039,11229.102157854913,965
