state,total_revenue,total_customers,avg_revenue_per_customer
Rhode Island,96769310.1,28,3456046.7892857143
Oregon,95040426.91,32,2970013.3409375
Wyoming,91611975.34,30,3053732.5113333333
Idaho,89851150.48,31,2898424.209032258
Maine,82841606.09,25,3313664.2436
Utah,82769726.66,24,3448738.6108333333
Kentucky,82328829.64,28,2940315.3442857144
Alabama,76013073.48,25,3040522.9392
Iowa,73813675.3,25,2952547.012
Hawaii,73340019.93,23,3188696.518695652
Montana,71347050.85,22,3243047.765909091
Delaware,70628729.95,24,2942863.747916667
Nevada,68173795.64,24,2840574.8183333334
Tennessee,67849627.1,24,2827067.7958333334
Virginia,67736268.8,21,3225536.6095238095
Nebraska,67579918.69,21,3218091.3661904763
Wisconsin,67141201.16,25,2685648.0464
New Hampshire,64025958.43,21,3048855.1633333336
North Carolina,62817681.44,20,3140884.072
Illinois,62703700.64,22,2850168.210909091
Pennsylvania,61473536.2,21,2927311.2476190478
Kansas,59126507.19,21,2815547.9614285715
North Dakota,57903530.99,19,3047554.262631579
Massachusetts,57902543.47,19,3047502.287894737
Arkansas,56945914.01,19,2997153.3689473686
Oklahoma,55451362.41,18,3080631.245
Arizona,54858455.92,17,3226967.995294118
Texas,54826850.51,19,2885623.7110526315
Washington,53629179.59,21,2553770.4566666665
Vermont,53574172.98,18,2976342.9433333334
New Mexico,53304613.24,18,2961367.402222222
West Virginia,52767363.51,18,2931520.195
Georgia,52597651.29,19,2768297.4363157894
Florida,52218235.01,17,3071660.8829411766
California,51316013.6,17,3018589.035294118
South Carolina,50952031.54,18,2830668.418888889
Connecticut,50606657.72,18,2811480.9844444445
Michigan,49233751.89,17,2896103.052352941
Minnesota,47954654.63,16,2997165.914375
Colorado,47447684.23,16,2965480.264375
New York,46738305.74,14,3338450.41
Missouri,45799198.19,17,2694070.481764706
Ohio,43270394.14,13,3328491.856923077
Maryland,43152210.01,15,2876814.000666667
Mississippi,43117093.26,17,2536299.603529412
South Dakota,41404959.17,14,2957497.0835714284
Louisiana,37542661.58,15,2502844.1053333334
New Jersey,34379540.82,14,2455681.487142857
Indiana,30584331.25,10,3058433.125
Alaska,22961893.3,10,2296189.33
