item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM000001,TXN000001,PROD0479,2,1773.89,0,3547.78
ITEM000002,TXN000001,PROD0014,1,1316.83,5,1250.99
ITEM000003,TXN000001,PROD0424,1,2323.66,5,2207.48
ITEM000004,TXN000002,PROD0396,4,4902.49,10,17648.96
ITEM000005,TXN000003,PROD0320,3,1466.11,0,4398.33
ITEM000006,TXN000004,PROD0066,3,4604.07,15,11740.38
ITEM000007,TXN000004,PROD0241,3,1255.23,15,3200.84
ITEM000008,TXN000005,PROD0132,1,4395.03,0,4395.03
ITEM000009,TXN000005,PROD0075,4,1953.24,15,6641.02
ITEM000010,TXN000006,PROD0383,4,2961.79,10,10662.44
ITEM000011,TXN000006,PROD0370,2,4731.9,0,9463.8
ITEM000012,TXN000007,PROD0415,2,2471.3,10,4448.34
ITEM000013,TXN000007,PROD0162,3,3126.38,15,7972.27
ITEM000014,TXN000007,PROD0460,2,4501.64,15,7652.79
ITEM000015,TXN000007,PROD0256,3,1189.2,10,3210.84
ITEM000016,TXN000007,PROD0411,1,1980.57,5,1881.54
ITEM000017,TXN000008,PROD0124,3,3097.45,0,9292.35
ITEM000018,TXN000008,PROD0382,2,4522.09,5,8591.97
ITEM000019,TXN000009,PROD0319,1,2986.35,15,2538.4
ITEM000020,TXN000009,PROD0126,2,3745.59,15,6367.5
ITEM000021,TXN000009,PROD0432,3,1018.22,0,3054.66
ITEM000022,TXN000009,PROD0258,4,3067.33,15,10428.92
ITEM000023,TXN000010,PROD0216,1,268.84,0,268.84
ITEM000024,TXN000011,PROD0113,4,4558.32,15,15498.29
ITEM000025,TXN000011,PROD0430,3,3880.02,10,10476.05
ITEM000026,TXN000011,PROD0366,1,831.63,15,706.89
ITEM000027,TXN000012,PROD0122,1,717.54,0,717.54
ITEM000028,TXN000012,PROD0363,2,3737.49,5,7101.23
ITEM000029,TXN000012,PROD0074,3,3809.77,10,10286.38
ITEM000030,TXN000012,PROD0210,4,4520.8,5,17179.04
ITEM000031,TXN000013,PROD0192,3,3405.62,5,9706.02
ITEM000032,TXN000014,PROD0184,3,533.53,10,1440.53
ITEM000033,TXN000014,PROD0063,1,4593.68,10,4134.31
ITEM000034,TXN000014,PROD0420,4,2944.5,15,10011.3
ITEM000035,TXN000014,PROD0464,1,528.71,0,528.71
ITEM000036,TXN000015,PROD0126,4,3745.59,5,14233.24
ITEM000037,TXN000015,PROD0227,1,3107.84,5,2952.45
ITEM000038,TXN000015,PROD0004,1,1176.77,0,1176.77
ITEM000039,TXN000016,PROD0500,3,4907.3,5,13985.81
ITEM000040,TXN000016,PROD0279,4,3713.86,5,14112.67
ITEM000041,TXN000016,PROD0148,2,1462.99,5,2779.68
ITEM000042,TXN000016,PROD0191,2,2306.74,0,4613.48
ITEM000043,TXN000017,PROD0500,4,4907.3,5,18647.74
ITEM000044,TXN000018,PROD0488,3,4982.07,5,14198.9
ITEM000045,TXN000018,PROD0473,1,215.47,15,183.15
ITEM000046,TXN000019,PROD0007,4,2514.73,10,9053.03
ITEM000047,TXN000019,PROD0358,1,993.04,5,943.39
ITEM000048,TXN000019,PROD0193,1,1837.55,5,1745.67
ITEM000049,TXN000020,PROD0237,1,2045.68,0,2045.68
ITEM000050,TXN000020,PROD0290,1,1762.0,10,1585.8
ITEM000051,TXN000020,PROD0003,4,1906.35,10,6862.86
ITEM000052,TXN000020,PROD0398,4,2793.36,0,11173.44
ITEM000053,TXN000021,PROD0143,4,2064.78,0,8259.12
ITEM000054,TXN000021,PROD0071,2,4395.61,0,8791.22
ITEM000055,TXN000021,PROD0321,1,2895.57,15,2461.23
ITEM000056,TXN000021,PROD0253,3,3122.32,15,7961.92
ITEM000057,TXN000021,PROD0113,1,4558.32,0,4558.32
ITEM000058,TXN000022,PROD0116,4,1174.97,15,3994.9
ITEM000059,TXN000022,PROD0311,3,4030.14,15,10276.86
